board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_14,compressed_bet_14,full_call_facing_14,compressed_call_facing_14,full_bet_29,compressed_bet_29,full_call_facing_29,compressed_call_facing_29
9d 2d Kc Tc 4c,4d 5c,0,1,5,0.001244444970306037,0.000449284967677759,0.0012469688268485005,0.0004527296805037279,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4927083286566785,0.0,1.1313624182516413e-05,0.0,0.001875452330007434
9d 2d Kc Tc 4c,4d 5d,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012368383484487391,1.0110297329923832e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 5h,0,1,5,0.001244444970306037,0.000449284967677759,0.0012410216169052787,0.0004495668871563279,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 5s,0,1,5,0.001244444970306037,0.000449284967677759,0.0012410216169052787,0.0004495668871563279,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 6c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001207632216113815,1.0081354815834185e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4927083286566785,0.0,1.1313624182516413e-05,1.0,0.001875452330007434
9d 2d Kc Tc 4c,4d 6d,0,1,5,0.001244444970306037,0.001379223695527013,0.0012029344423315513,0.0013940120004675076,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 6h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012010666677293748,1.008270982584946e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 6s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012010666677293748,1.008270982584946e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 7c,0,1,5,0.001444221296534117,9.99230592443818e-07,0.0014417583076614011,9.996482856384437e-07,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4927083286566785,0.0,1.1313624182516413e-05,0.0,0.001875452330007434
9d 2d Kc Tc 4c,4d 7d,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012465304853470252,1.0059655266377197e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 7h,0,1,5,0.001444221296534117,9.99230592443818e-07,0.001449457219193887,1.0063741511652897e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 7s,0,1,5,0.001444221296534117,9.99230592443818e-07,0.001449457219193887,1.0063741511652897e-06,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 8c,0,1,5,9.998460237123483e-07,9.99230592443818e-07,1.005924379840575e-06,1.0016616994966721e-06,9,10,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4927083286566785,0.0,1.1313624182516413e-05,0.0,0.001875452330007434
9d 2d Kc Tc 4c,4d 8d,0,1,5,0.001244444970306037,0.007417272267024453,0.0012532024976771344,0.007359449557224925,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 8h,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.988071407960836e-07,9.887643090541974e-07,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 8s,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.988071407960836e-07,9.887643090541974e-07,9,3,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.8958594524733711,0.0,1.1313624182516413e-05,0.0,0.19432486563427995
9d 2d Kc Tc 4c,4d 9c,0,1,5,0.00020740749505100619,0.00669700194037848,0.00020069939128818754,0.006786629592967044,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d 9h,0,1,5,0.00020740749505100619,0.00669700194037848,0.0002036306335258978,0.006806999221555327,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d 9s,0,1,5,0.00020740749505100619,0.00669700194037848,0.00020363063352589784,0.006806999221555327,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d Td,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012328664633406957,1.009873762749743e-06,10,1,0.0,6.666666666666667e-06,0.0,0.9989392906548963,1.0,0.99999,1.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d Th,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.905433028801242e-07,1.01569868661769e-06,10,1,0.0,6.666666666666667e-06,0.0,0.9989392906548963,1.0,0.99999,1.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,4d Ts,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.905433028801242e-07,1.01569868661769e-06,10,1,0.0,6.666666666666667e-06,0.0,0.9989392906548963,1.0,0.99999,1.0,0.0010540426784370587,1.0,0.99999
